"specimen_id","species","variety_name","variety_type","ethanol_pre_treatment","saline_treatment","block","leaf_area","leaf_number","shoot_dry_weight","root_dry_weight","shoot_fresh_weight","root_fresh_weight","leaf_fresh_weight","leaf_dry_weight","turgid_weight","leaf_rwc","water_deficit","plant_height","stem_diameter","shoot_length","root_length","root_to_shoot_ratio","health_status","block_mortality_rate","block_survival_rate","leaf_area_outlier","leaf_number_outlier","shoot_dry_weight_outlier","root_dry_weight_outlier","shoot_fresh_weight_outlier","root_fresh_weight_outlier","leaf_fresh_weight_outlier","leaf_dry_weight_outlier","turgid_weight_outlier","leaf_rwc_outlier","water_deficit_outlier","plant_height_outlier","stem_diameter_outlier","shoot_length_outlier","root_length_outlier","root_to_shoot_ratio_outlier"
"EZ4","Solanum lycopersicum","Cherry Cutie Pie","OPV",NA,NA,"4",0.325,2,0.0525,0.0092,0.112,0.125,NA,NA,NA,NA,NA,8.8,0.1,3.7,5.1,0.1752380952,1,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"EX4","Solanum lycopersicum","Cherry Cutie Pie","OPV",NA,NA,"4",7.65,3,0.088,0.377,0.26,0.155,0.07,0.06,0.076,62.5,37.5,12.5,2.5,5.6,6.9,4.284090909,4,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"CX4","Solanum lycopersicum","Cherry Cutie Pie","OPV",NA,NA,"4",4.86,4,0.13,0.269,0.544,1.145,0.18,0.08,0.202,81.96721311,18.03278689,9.4,2.5,5.6,3.8,2.069230769,3,0,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"CY4","Solanum lycopersicum","Cherry Cutie Pie","OPV",NA,NA,"4",0.35,3,0.073,0.065,0.147,0.097,NA,NA,NA,NA,NA,7.4,0.2,3.3,4.1,0.8904109589,2,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"CX3","Solanum lycopersicum","Cherry Cutie Pie","OPV",NA,NA,"3",2.99,4,0.097,0.201,0.26,0.452,NA,NA,NA,NA,NA,11.7,0.35,4.7,7,2.072164948,2,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"EX3","Solanum lycopersicum","Cherry Cutie Pie","OPV",NA,NA,"3",1.98,4,0.078,0.082,0.254,0.185,NA,NA,NA,NA,NA,9.8,0.2,3.7,6.1,1.051282051,2,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"EZ3","Solanum lycopersicum","Cherry Cutie Pie","OPV",NA,NA,"3",0.5,4,0.116,0.416,0.405,1.287,0.209,0.079,0.231,85.52631579,14.47368421,13.1,3,7.1,6,3.586206897,1,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"EY3","Solanum lycopersicum","Cherry Cutie Pie","OPV",NA,NA,"3",0.24,2,0.069,0,0.122,0.083,NA,NA,NA,NA,NA,5,0.1,3.6,1.4,0,1,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"CY3","Solanum lycopersicum","Cherry Cutie Pie","OPV",NA,NA,"3",0.6,4,0.077,0,0.197,0.1,NA,NA,NA,NA,NA,10.7,0.2,3.5,7.2,0,2,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"CZ3","Solanum lycopersicum","Cherry Cutie Pie","OPV",NA,NA,"3",2.52,3,0.097,0.092,0.329,1.596,0.124,0.072,0.137,80,20,13.6,3,4.5,9.1,0.9484536082,2,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"EY1","Solanum lycopersicum","Cherry Cutie Pie","OPV",NA,NA,"1",0,0,0.073,0.07,0.159,0.189,0,0,0,0,0,10.8,1,6.7,4.1,0.9589041096,0,0.1666666667,0.8333333333,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
